
Project					Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
		10357900			10357900	CONTAINMENT SKIRT, COMP SCM - VECTUS	OrdRes	POitem	         4501739957	                  30	-1	              8			16.12.2022	02.01.2023	P02	             8262172		BC3	EA
		10358576			10358576	AQUASIGN 'E1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  30	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		10358577			10358577	AQUASIGN 'E2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  40	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		10358578			10358578	AQUASIGN 'E3' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  50	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		10358579			10358579	AQUASIGN 'E4' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  60	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		10358600			10358600	AQUASIGN 'O1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  70	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		10358601			10358601	AQUASIGN 'O2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  80	-1	              8			21.10.2022	02.01.2023	P02	             8262172		BC5	EA
		BB88-060328-10			BB88-060328-10	ICON SEM CONNECTOR ASSY - 16-WAY BRANTNE	OrdRes	ProjSt			-4					06.02.2023	S03	             8262173		BQ7	EA	            315
		BB88-060328-07			BB88-060328-07	ICON SEM CONN ASSY 90-WAY BRANTNER CABLE	OrdRes	ShpgNt	         4500945956	                  80	-4	             22			14.09.2022	06.02.2023	S03	             8262173		BC7	EA	            315
		BB88-060328-08			BB88-060328-08	ICON SEM CONN ASSY 96-WAY BRANTNER CABLE	OrdRes	ProjSt			-4					06.02.2023	S03	             8262173		BC7	EA	            315
		10235570			10235570	ELEC CONN FXD STAB 12W SOCKETS TELEDYNE	OrdRes	ShpgNt	         4500946964	                  10	-33	             10			20.10.2022	06.02.2023	S03	             8262173		BC7	EA	            250
		10346765			10346765	ELEC CONN STAB 4W SKTS TELEDYNE	OrdRes	ProjSt			-1					06.02.2023	S03	             8262173		BC7	EA	            278
		10286157			10286157	ELEC CONN ROV 12W SKTS TELEDYNE R/M	OrdRes	ProjSt			-2					06.02.2023	S03	             8262173		BC7	EA	            250
		10345084			10345084	OPT JMPR 8W WETMT (-106) TO DRYMATE L=3M	OrdRes	QM-lot	        10003211048		-2	              1		21.10.2022	21.10.2022	06.02.2023	Y01	             8262173		BC7	EA	            321
		10302720			10302720	FO CONN PROTECTIVE CAP, HYDRALIGHT 8W LC	OrdRes	ShpgNt	         4500945956	                 120	-2	              9			27.07.2022	06.02.2023	C03	             8262173		BC7	EA	            277
		10151607			10151607	ROV CVR FOR 4/7/12W RECEPTACLES NO PINS	OrdRes	ProjSt			-2					06.02.2023	S03	             8262173		BC7	EA	            250
		10058109			10058109	SHEAR PIN, LOCKDOWN PROBE, MONOLOCK	OrdRes	ProjSt			-1					06.02.2023	C03	             8262173		BC5	EA	            211
		10321958			10321958	COMPENSATOR BLADDER, 28 LITRE	OrdRes	ProjSt			-2					06.02.2023	Y01	             8262173		BC5	EA	            257
		10286654			10286654	GASKET, VECTUS SCM TOP COVER	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            222
		10199383			10199383	PHAZE 3 LEVEL INGRESS DETECTOR	OrdRes	ProjSt			-1					06.02.2023	C03	             8262173		BA1	EA	            180
		BB14-KC0037-40			BB14-KC0037-40	SUB ASSEMBLY LOCKDOWN PROBE 1340LG API 1	OrdRes	ShpgNt	         4500950478	                  30	-1	              2			21.12.2022	06.02.2023	S03	             8262173		U30	EA	            214
		10350476			10350476	MONOLOCK SCM TOP COVER, 4 ELEC, 2 OPT	OrdRes	ProjSt			-1					06.02.2023	A72	             8262173		BC4	EA	            285
		10227844			10227844	PSM	OrdRes	POitem	         4500951712	                  20	-2	             16			18.11.2022	06.02.2023	M01	             8262173		BA1	EA	            200
		10232959			10232959	VECTUS EM-CMM EXPANDED ASSY	OrdRes	POitem	         4500951712	                  30	-2	             16			22.11.2022	06.02.2023	P02	             8262173		BA1	EA	            200
		10325004			10325004	Jansz Rockwell SEM	OrdRes	POitem	         4500953468	                  20	-4	             32			17.11.2022	06.02.2023	P02	             8262173		BA1	EA	            200
		10350395			10350395	BASEPLATE, COMPRESSION SCM VECTUS	OrdRes	POitem	         4501729131	                  30	-1	              3			28.12.2022	06.02.2023	A72	             8262173		BC3	EA	            189

			10301313		10301313	FORGING, SCM BASE PLATE	SubReq	ScPrSt			-3					29.07.2022	F01	             8864246		BC2	EA	            165

		10051887			10051887	LOCATION PIN 40MM DIA	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            116
		10051886			10051886	LOCATION PIN 50MM DIA	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            116
		10311504			10311504	BRKT, FO BEND RESTRICTOR, SRM TYPE 2	OrdRes	QM-lot	        10003213234		-2	             16		26.10.2022	26.10.2022	06.02.2023	L02	             8262173		BC4	EA	            248
		10006545			10006545	SPLITTER BLOCK 1 IN 5 OUT	OrdRes	ShpgNt	         4501732750	                  10	-8	             64			07.10.2022	06.02.2023	S03	             8262173		BC7	EA	            260
		10242692			10242692	SPLITTER BLOCK 1-2x2	OrdRes	ShpgNt	         4501732095	                  10	-20	            107			17.10.2022	06.02.2023	S03	             8262173		BC7	EA	            260
		10108615			10108615	SHSS HEX, 12X40 (M10), A4-80	OrdRes	ProjSt			-2					06.02.2023	P01	             8262173		BC5	EA	            216
		BS0000411			BS0000411	SHCS HEX, M10X50, A4-80	OrdRes	ProjSt			-19					06.02.2023	P01	             8262173		BC5	EA	            176
		BB17-MX0041-05			BB17-MX0041-05	SHCS HEX, M8X30, A4-80	OrdRes	ProjSt			-5					06.02.2023	P01	             8262173		BC5	EA	            176
		10165443			10165443	SHCS HEX, M6X14, A4-80	OrdRes	ProjSt			-42					06.02.2023	P01	             8262173		BC5	EA	            100
		10133034			10133034	SHCS HEX, M8X45, A4-80	OrdRes	ProjSt			-38					06.02.2023	P01	             8262173		BC5	EA	            130
		10141069			10141069	SHCS HEX, M6X25, A4-80	OrdRes	ShpgNt	         4501736533	                  40	-37	            384			16.11.2022	06.02.2023	P01	             8262173		BC5	EA	            216
		BB20011-073			BB20011-073	SHCS HEX, M10X25, A4-80	OrdRes	ProjSt			-34					06.02.2023	P01	             8262173		BC5	EA	            100
		10111667			10111667	SCREW HEX, M10X16, A4-80	OrdRes	ProjSt			-12					06.02.2023	P01	             8262173		BC5	EA	            176
		10260475			10260475	SHCS HEX, M4X12, A4-80	OrdRes	POitem	         4501731633	                  30	-9	            120			18.10.2022	06.02.2023	P01	             8262173		BC5	EA	            176
		BB17-MX0008-21			BB17-MX0008-21	SHCS HEX, M6X40, A4-80	OrdRes	QM-lot	        10003213559		-16	            128		27.10.2022	27.10.2022	06.02.2023	P01	             8262173		BC5	EA	            176
		10322664			10322664	SHCS HEX, M12X85, A4-80	OrdRes	ProjSt			-8					06.02.2023	P02	             8262173		BC5	EA	            189
		10006148			10006148	SHCS HEX, M8X20, A4-80	OrdRes	ProjSt			-4					06.02.2023	P01	             8262173		BC5	EA	            202
		10129764			10129764	SHCS HEX, M10X20, A4-80	OrdRes	ProjSt			-8					06.02.2023	P01	             8262173	           10	BC5	EA	            176
		10243227			10243227	DOWEL - PIN 6MM DIA (h6) X 20MM LG ST ST	OrdRes	ProjSt			-34					06.02.2023	C02	             8262173		BC5	EA	            202
		BB17-080297-13			BB17-080297-13	WASHER FLAT M6 FORM'A' ST STL BS4320	OrdRes	ProjSt			-9					06.02.2023	C02	             8262173		BC5	EA	            202
		10260475			10260475	SHCS HEX, M4X12, A4-80	OrdRes	POitem	         4501731633	                  30	-15	            120			18.10.2022	06.02.2023	P01	             8262173		BC5	EA	            176
		BB17-080196-28			BB17-080196-28	WASHER, SINGLE COIL, M6, DIN 127 B, A4	OrdRes	ProjSt			-25					06.02.2023	C02	             8262173		BC5	EA	            186
		10282801			10282801	CHECK VLV, 3/8 SAE(M) TO SAE(F), 10PSI	OrdRes	ProjSt			-1					06.02.2023	C02	             8262173		B02	EA	            163
		10022239			10022239	CONNECTOR,MALE,1/4" SWG-BSP SS-400-1-4RS	OrdRes	ProjSt			-2					06.02.2023	C02	             8262173		BC0	EA	            197
		BB17-080407-03			BB17-080407-03	SHCS HEX, M12X30, A4-80	OrdRes	ProjSt			-8					06.02.2023	P01	             8262173		BC5	EA	            196
		10055685			10055685	BLANKING PLATE ELEC CONN 12 WAY TRONIC	OrdRes	POitem	         4501732645	                 120	-2	             16			01.11.2022	06.02.2023	M01	             8262173		BC3	EA	            120
		BB17-MX0020-42			BB17-MX0020-42	SHCS HEX, M6X20, A4-80	OrdRes	ProjSt			-160					06.02.2023	P01	             8262173		BC5	EA	            176
		10286652			10286652	ISOLATION RING, ROV CONN	OrdRes	ProjSt			-4					06.02.2023	M01	             8262173		BC3	EA	            270
		10282802			10282802	ELBOW, 3/8" SAE(M) X 3/8" SAE(F), ADJUST	OrdRes	ShpgNt	         4501743340	                  60	-1	             40			14.04.2023	06.02.2023	B15	             8262173		B01	EA	            175
		10282800			10282800	ELBOW  1 4 SAE M  X 1 4  SAE F ADJUST	OrdRes	ShpgNt	         4501743340	                  80	-1	             35			10.04.2023	06.02.2023	B15	             8262173		B01	EA	            175
		10289182			10289182	SCREEN FITTING, 3/8 SAE TO 37d 100micron	OrdRes	ShpgNt	         4501743340	                 100	-1	             22			02.02.2023	06.02.2023	B15	             8262173		B01	EA	            175
		10143076			10143076	SHCS HEX, M6X10, A4-80	OrdRes	ProjSt			-4					06.02.2023	P01	             8262173		BC5	EA	            134
		10282609			10282609	CHECK VLV 1 4 SAE M 5PSI CRACK PRES	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            240
		10141821			10141821	PIPE CAP -4 SAE J1926 STRT THD ORB (F)	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            175
		10108582			10108582	SHCS HEX, M6X12, A4-80	OrdRes	ProjSt			-127					06.02.2023	P01	             8262173		BC5	EA	            216
		10252136			10252136	3/16" (-3) SAE J514 PLUG ORB HEX SKT SS	OrdRes	ShpgNt	         4501727118	                 120	-3	             84			27.05.2022	06.02.2023	B15	             8262173		B01	EA	            175
		10289753			10289753	O-RING, 11,89x1,98, NBR90A	OrdRes	Stock			-3					06.02.2023	B15	             8262173		B01	EA	            164
		10289920			10289920	O-RING, 8,92x1,83, NBR90A	OrdRes	Stock			-3					06.02.2023	B15	             8262173		B01	EA	            164
		10223761			10223761	SHCS HEX, M10X40, A4-80	OrdRes	ProjSt			-16					06.02.2023	P01	             8262173		BC5	EA	            150
		10292951			10292951	O-RING, 151,77X5,33, NBR50A	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            164
		BB18-080225-22			BB18-080225-22	BLADDER SUPPORT	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            120
		10133031			10133031	SHCS HEX, M10X35, A4-80	OrdRes	ProjSt			-8					06.02.2023	C02	             8262173		BC5	EA	            159
		10107591			10107591	P-CLIP, 8mm BUNDLE DIA, BLACK COLOUR	OrdRes	ProjSt			-6					06.02.2023	C02	             8262173		BC5	EA	            159
		10310804			10310804	SINGLE BLADDER COVER PLATE	OrdRes	POitem	         4501732645	                  20	-2	             16			04.01.2023	06.02.2023	U01	             8262173		BC3	EA	            150
		10292194			10292194	SHCS HEX, M10X15, A4-80	OrdRes	ProjSt			-38					06.02.2023	P01	             8262173		BC5	EA	            159
		10118380			10118380	O-RING, 53,64x2,62, NBR70A	OrdRes	ProjSt			-2					06.02.2023	C02	             8262173		B02	EA	            144
		10290975			10290975	O-RING, 88,49 x 3,53 NBR90A	OrdRes	Stock			-4					06.02.2023	B15	             8262173		B01	EA	            164
		10286509			10286509	BLADDER RESERVOIR, (WATER TRAP)	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            159
		10292499			10292499	EARTH STRP FLT BRAID M6 - M10, L=700MM	OrdRes	ProjSt			-4					06.02.2023	C02	             8262173		BC0	EA	            134
		BB17-060045-16			BB17-060045-16	WASHER, SINGLE COIL, M10, DIN 127 B, A4	OrdRes	ProjSt			-6					06.02.2023	C02	             8262173		BC5	EA	            159
		10018408			10018408	BLADDER SUPPORT TOP iCON SCM	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            159
		10212427			10212427	TUBE 1/4"ODx0.028 WALL TO ASTM A269 GRA	OrdRes	ProjSt			-2					06.02.2023	C02	             8262173		VJ1	M	            159
		10286508			10286508	O-RING, 11,89x1,98, NBR50A	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            164
		10287917			10287917	CAP, CHECK VLV 3/8" SAE (M)	OrdRes	ProjSt			-1					06.02.2023	M01	             8262173		BC3	EA	            240
		BB20-080010-02			BB20-080010-02	O-RING, 14,6x2,4, NBR70A	OrdRes	Stock			-6					06.02.2023	B15	             8262173		B01	EA	             74
		BB20-080016-23			BB20-080016-23	O-RING, 19,99x5,33, NBR 50A	OrdRes	Stock			-2					06.02.2023	B15	             8262173		B01	EA	            164
		10288488			10288488	VENT CAP (SAE FITTING)	OrdRes	ProjSt			-3					06.02.2023	M01	             8262173		BC3	EA	            116
		10320576			10320576	COVER PLATE, BUCKET, TYPE 2 SRM	OrdRes	POitem	         4501732645	                  30	-2	              8			01.11.2022	06.02.2023	M01	             8262173		BC3	EA	            189
		10252159			10252159	O-RING, 7,64x1,62, NBR90A	OrdRes	ProjSt			-3					06.02.2023	C02	             8262173		TS9	EA	            136
		10282914			10282914	SPLIT FLANGE 20 DEGREE VARIANT, ROV CONN	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            189
		10286651			10286651	SPLIT FLANGE, ROV CONN	OrdRes	ProjSt			-2					06.02.2023	M01	             8262173		BC3	EA	            116
		10356140			10356140	CENTRAL MOUNTING COLUMN, COMP SCM VECTUS	OrdRes	POitem	         4501733124	                  20	-1	              4			25.11.2022	06.02.2023	C03	             8262173		BC4	EA	            150
		10352752			10352752	SEM SUPPORT, COMPRESSION SCM - VECTUS	OrdRes	POitem	         4501736890	                  20	-2	              8			16.11.2022	06.02.2023	Y01	             8262173	           10	BC3	EA	            114
		10355518			10355518	PSM SUPPORT, COMP SCM - VECTUS	OrdRes	POitem	         4501736330	                 110	-2	              8			06.12.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10354092			10354092	ROCKWELL SEM SPACER, COMP. SCM - VECTUS	OrdRes	POitem	         4501736330	                  70	-2	              8			06.12.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10353297			10353297	PSM/ROCKWELL SEM SUPPORT,COMP SCM-VECTUS	OrdRes	POitem	         4501736330	                  30	-2	              8			06.12.2022	06.02.2023	U01	             8262173	           10	BC3	EA	            114
		10355519			10355519	ROCKWELL SEM ADAPTER, COMP SCM - VECTUS	OrdRes	POitem	         4501736330	                 130	-2	             16			06.12.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10352876			10352876	EM CABLE TRAY, COMPRESSION SCM - VECTUS	OrdRes	POitem	         4501735387	                  80	-4	             16			14.01.2022	06.02.2023	Y01	             8262173	           10	BC3	EA	            135
		10352877			10352877	ROCKWELL SEM CABLE TRAY, COMP SCM	OrdRes	POitem	         4501735387	                  90	-2	              8			14.01.2022	06.02.2023	Y01	             8262173	           10	BC3	EA	            135
		10354170			10354170	ROCKWELL SEM EXT. CABLE TRAY, COMP SCM	OrdRes	POitem	         4501735387	                 120	-2	              8			14.01.2022	06.02.2023	S03	             8262173		BC3	EA	            135
		10354093			10354093	ROCKWELL SEM INT CABLE TRAY, COMP SCM	OrdRes	POitem	         4501735387	                 110	-2	              8			14.01.2022	06.02.2023	S03	             8262173		BC3	EA	            135
		10354091			10354091	OIL TRAP CABLE TRAY, COMP SCM - VECTUS	OrdRes	POitem	         4501735387	                 100	-2	              8			14.01.2022	06.02.2023	Y01	             8262173	           10	BC3	EA	            135
		10354171			10354171	EARTH BAR 15 POSNS, COMP. SCM - VECTUS	OrdRes	POitem	         4501736330	                  90	-4	             16			01.11.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10354172			10354172	EARTH BAR CAP 15 POSNS, COMP SCM-VECTUS	OrdRes	QM-lot	        10003213145		-4	             16		26.10.2022	26.10.2022	06.02.2023	M01	             8262173		BC3	EA	            130
		10353298			10353298	INT. SEM SUPPORT SIDE A, COMP SCM-VECTUS	OrdRes	POitem	         4501736330	                  50	-1	              8			06.12.2022	06.02.2023	U01	             8262173	           10	BC3	EA	            114
		10353299			10353299	EXT. SEM SUPPORT SIDE A, COMP SCM-VECTUS	OrdRes	POitem	         4501736330	                  60	-1	              8			06.12.2022	06.02.2023	U01	             8262173	           10	BC3	EA	            114
		10352878			10352878	INT. SEM SUPPORT SIDE B, COMP SCM-VECTUS	OrdRes	POitem	         4501736330	                  20	-1	              8			06.12.2022	06.02.2023	Y01	             8262173	           10	BC3	EA	            114
		10352879			10352879	EXT. SEM SUPPORT SIDE B, COMP SCM-VECTUS	OrdRes	POitem	         4501736890	                  40	-1	              8			16.11.2022	06.02.2023	U01	             8262173	           10	BC3	EA	            114
		10356059			10356059	POSITION PLATE SIDE A, COMP SCM - VECTUS	OrdRes	POitem	         4501736330	                 150	-1	              8			06.12.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10356058			10356058	POSITION PLATE SIDE B, COMP SCM - VECTUS	OrdRes	POitem	         4501736330	                 140	-1	              8			06.12.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10352920			10352920	POSITION PLATE SPRT, COMP SCM - VECTUS	OrdRes	POitem	         4501736890	                  60	-1	              8			29.11.2022	06.02.2023	U01	             8262173	           10	BC3	EA	            114
		10353875			10353875	ELEC CONN ROV 4W PINS ODI R/M DUAL KEY	OrdRes	QM-lot	        10003199386		-2	              1		22.09.2022	22.09.2022	06.02.2023	S03	             8262173		BC7	EA	            250
		10356689			10356689	SPRT, RND BAR, 35MM DIA, 335MM, M12xM10	OrdRes	QM-lot	        10003212547		-4	             32		26.10.2022	26.10.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10356830			10356830	SPRT, RND BAR, 50MM DIA, 335MM, M12xM10	OrdRes	QM-lot	        10003212379		-4	             32		26.10.2022	26.10.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		10356831			10356831	SPRT, RND BAR, 35MM DIA, 70MM, M12xM10	OrdRes	QM-lot	        10003212383		-8	             64		26.10.2022	26.10.2022	06.02.2023	M01	             8262173		BC3	EA	            114
		BB88-KC2007-04			BB88-KC2007-04	TERMINATION SLEEVE 0.060"/0.067"DIA WIRE	OrdRes	ProjSt			-184					06.02.2023	S03	             8262173		BC7	EA	            250
		10265171			10265171	BOOT SEAL 0.94MM-1.07MM	OrdRes	ShpgNt	         4501732098	                  30	-90	            620			17.11.2022	06.02.2023	S03	             8262173		BC7	EA	            250
		BB88-KC2007-21			BB88-KC2007-21	TERMINATION SLEEVE (BLANK) BLACK	OrdRes	ShpgNt	         4501732098	                  10	-140	            820			17.11.2022	06.02.2023	S03	             8262173		BC7	EA	            250
		BB88-083007-12			BB88-083007-12	TERM SLEEVE (1/1.9MM DIA WIRE) NITRILE 7	OrdRes	ShpgNt	         4501735626	                  10	-96	            100			23.11.2022	06.02.2023	S03	             8262173		BC7	EA	            260
		BB88-083007-11			BB88-083007-11	TERMINATION SLEEVE BLANK NITRILE FOR 7&1	OrdRes	ShpgNt	         4501735626	                  20	-36	            100			21.10.2022	06.02.2023	S03	             8262173		BC7	EA	            260
		10202856			10202856	BOOT SEAL 1.73MM-1.93MM	OrdRes	ShpgNt	         4501732098	                  40	-14	            112			17.11.2022	06.02.2023	C02	             8262173		BC7	EA	            250
		10292255			10292255	TERMINATION SLEEVE 0.085"/0.095"DIA WIRE	OrdRes	ShpgNt	         4501732098	                  20	-4	             32			17.11.2022	06.02.2023	S03	             8262173		BC7	EA	            250
		10292496			10292496	PSM CABLE TRAY	OrdRes	POitem	         4501735387	                  70	-4	             32			16.11.2022	06.02.2023	M01	             8262173		BC3	EA	            120
		BB20-080017-01			BB20-080017-01	TRANSFORMER OIL - UNINHIBITED - 208L	OrdRes	ProjSt			-500					06.02.2023	C02	             8262173		BC7	L	            195
		10017370			10017370	SHCS HEX, M10X60, A4-80	OrdRes	POitem	         4501738294	                  50	-4	             32			07.12.2022	06.02.2023	P04	             8262173		BC5	EA	            150
		10071009			10071009	SHCS HEX, M12X65, A4-80	OrdRes	POitem	         4501738294	                  60	-2	             16			07.12.2022	06.02.2023	P02	             8262173		BC5	EA	            150
		10108569			10108569	NUT HEX, M12, A4-80	OrdRes	POitem	         4501744670	                  20	-2	             42			31.03.2023	06.02.2023	P01	             8262173		BC5	EA	            160
		BB17-080297-16			BB17-080297-16	WASHER FLAT M10 FORM'A' ST STL BS4320	OrdRes	ProjSt			-2					06.02.2023	C02	             8262173		BC5	EA	            186
		10357869			10357869	WID BRACKET, COMPRESSION SCM - VECTUS	OrdRes	POitem	         4501741444	                  20	-1	              8			04.01.2023	06.02.2023	P02	             8262173		BC3	EA
		10108612			10108612	SHCS HEX, M8X50, A4-80	OrdRes	POitem	         4501738294	                  80	-4	             32			07.12.2022	06.02.2023	P01	             8262173		BC5	EA	            216
		10141841			10141841	EARTH STRAP FLAT BRAID M6 - M6 300LG	OrdRes	ProjSt			-9					06.02.2023	P02	             8262173		BC5	EA	            189
		10179185			10179185	EARTH STRAP FLAT BRAID M6 - M6 1500LG	OrdRes	ProjSt			-4					06.02.2023	P02	             8262173		BC5	EA	            189
		10187811			10187811	SEAL RING TERMINAL M6 16-14 AWG BLUE	OrdRes	ProjSt			-58					06.02.2023	L02	             8262173		BC5	EA	            180
		10292660			10292660	CRIMP TERMINAL M10 RING TYPE	OrdRes	ProjSt			-2					06.02.2023	C02	             8262173		BC7	EA	            120
		10063433			10063433	ANTI ROTATIONAL PIN, MONOLOCK OVERRIDE	OrdRes	POitem	         4501738546	                  20	-1	              8			18.11.2022	06.02.2023	M01	             8262173		BC3	EA	             99
		10063432			10063432	OVERRIDE HOUSING CAP/RECEPTACLE	OrdRes	ProjSt			-1					06.02.2023	M01	             8262173		BC3	EA	             99
		BB87-KC0005-12			BB87-KC0005-12	COPPER EARTH STRAP 6MM^2 M8xM8x300MM	OrdRes	ProjSt			-1					06.02.2023	L02	             8262173		BC5	EA	            159
		10108704			10108704	SHCS HEX, M8X12, A4-80	OrdRes	POitem	         4501738294	                  90	-1	              8			24.11.2022	06.02.2023	P01	             8262173		BC5	EA	            150
		10108705			10108705	SHCS HEX, M8X60, A4-80	OrdRes	POitem	         4501738294	                 100	-12	             96			24.11.2022	06.02.2023	P01	             8262173		BC5	EA	            150
		BB18-KC0951-01			BB18-KC0951-01	SHAFT SEAL RING (MONOLOCK MK2)	OrdRes	POitem	         4501736896	                  40	-1	              8			01.11.2022	06.02.2023	M01	             8262173		BC3	EA	            101
		BB20-080011-34			BB20-080011-34	O-RING, 164,5x3, NBR70A	OrdRes	Stock			-1					06.02.2023	B15	             8262173		B01	EA	            164
		BB88-080017-17			BB88-080017-17	CRIMP TERMINAL M6 RING TYPE	OrdRes	ProjSt			-6					06.02.2023	C02	             8262173		BC0	EA	            120
		10357900			10357900	CONTAINMENT SKIRT, COMP SCM - VECTUS	OrdRes	POitem	         4501739957	                  30	-1	              8			16.12.2022	06.02.2023	P02	             8262173		BC3	EA
		10358576			10358576	AQUASIGN 'E1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  30	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		10358577			10358577	AQUASIGN 'E2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  40	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		10358578			10358578	AQUASIGN 'E3' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  50	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		10358579			10358579	AQUASIGN 'E4' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  60	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		10358600			10358600	AQUASIGN 'O1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  70	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		10358601			10358601	AQUASIGN 'O2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  80	-1	              8			21.10.2022	06.02.2023	P02	             8262173		BC5	EA
		BB88-060328-10			BB88-060328-10	ICON SEM CONNECTOR ASSY - 16-WAY BRANTNE	OrdRes	ShpgNt	         4500945956	                  70	-4	             17			21.11.2022	13.03.2023	S03	             8262174		BQ7	EA	            315
		BB88-060328-07			BB88-060328-07	ICON SEM CONN ASSY 90-WAY BRANTNER CABLE	OrdRes	ShpgNt	         4500945956	                  80	-4	             22			14.09.2022	13.03.2023	S03	             8262174		BC7	EA	            315
		BB88-060328-08			BB88-060328-08	ICON SEM CONN ASSY 96-WAY BRANTNER CABLE	OrdRes	ProjSt			-4					13.03.2023	S03	             8262174		BC7	EA	            315
		10235570			10235570	ELEC CONN FXD STAB 12W SOCKETS TELEDYNE	OrdRes	ShpgNt	         4500946964	                  10	-33	             10			27.10.2022	13.03.2023	S03	             8262174		BC7	EA	            250
		10346765			10346765	ELEC CONN STAB 4W SKTS TELEDYNE	OrdRes	ProjSt			-1					13.03.2023	S03	             8262174		BC7	EA	            278
		10286157			10286157	ELEC CONN ROV 12W SKTS TELEDYNE R/M	OrdRes	ProjSt			-2					13.03.2023	S03	             8262174		BC7	EA	            250
		10345084			10345084	OPT JMPR 8W WETMT (-106) TO DRYMATE L=3M	OrdRes	QM-lot	        10003211050		-2	              1		21.10.2022	21.10.2022	13.03.2023	Y01	             8262174		BC7	EA	            321
		10302720			10302720	FO CONN PROTECTIVE CAP, HYDRALIGHT 8W LC	OrdRes	ShpgNt	         4500945956	                 120	-2	              9			27.07.2022	13.03.2023	C03	             8262174		BC7	EA	            277
		10151607			10151607	ROV CVR FOR 4/7/12W RECEPTACLES NO PINS	OrdRes	ProjSt			-2					13.03.2023	S03	             8262174		BC7	EA	            250
		10058109			10058109	SHEAR PIN, LOCKDOWN PROBE, MONOLOCK	OrdRes	ProjSt			-1					13.03.2023	C03	             8262174		BC5	EA	            211
		10321958			10321958	COMPENSATOR BLADDER, 28 LITRE	OrdRes	ProjSt			-2					13.03.2023	Y01	             8262174		BC5	EA	            257
		10286654			10286654	GASKET, VECTUS SCM TOP COVER	OrdRes	Stock			-1					13.03.2023	B15	             8262174		B01	EA	            222
		10199383			10199383	PHAZE 3 LEVEL INGRESS DETECTOR	OrdRes	ProjSt			-1					13.03.2023	C03	             8262174		BA1	EA	            180
		BB14-KC0037-40			BB14-KC0037-40	SUB ASSEMBLY LOCKDOWN PROBE 1340LG API 1	OrdRes	ShpgNt	         4500950478	                  40	-1	              2			10.03.2023	13.03.2023	S03	             8262174		U30	EA	            214
		10350476			10350476	MONOLOCK SCM TOP COVER, 4 ELEC, 2 OPT	OrdRes	ProjSt			-1					13.03.2023	A72	             8262174		BC4	EA	            285
