
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			BB19-KC0278-04					BB19-KC0278-04	MANIFOLD FILL/DRAIN RELIEF CHECK VALVE	DepReq	ProjSt			-1					26.01.2023	S03	            10458594		BC3	EA	            180
			BB15-080326-60					BB15-080326-60	VALVE CHECK (CRACKING PRESS 5PSI)	DepReq	PurRqs	           17584008	                  10	-2	              1	28.10.2022		04.05.2023	26.01.2023	C02	            10458594		B02	EA	            159
			BB17-080147-02					BB17-080147-02	PIPE CAP 1/4"NPT	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC5	EA	            189
			BB18-080284-04					BB18-080284-04	CAP RELIEF VALVE 1/4"NPT (F)	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC3	EA	            159
			BB19-080296-02					BB19-080296-02	MANIFOLD - BLANKING PLATE - LP	DepReq	ProjSt			-2					26.01.2023	M01	            10458594		BC3	EA	            116
			BB25-080701-01					BB25-080701-01	LABEL - ACCUMULATOR WARNING	DepReq	ProjSt			-2					26.01.2023	C02	            10458594		BC0	EA	            105
			10109284					10109284	1/8" NPT (M) to 3/8" TUBE 3.1 CERT TC1.3	DepReq	POitem	         4501739715	                  20	-3	              6			07.12.2022	26.01.2023	P02	            10458594		BC5	EA	            189
			10102267					10102267	BRKT, FILTER, iConSCM	DepReq	POitem	         4501731077	                 140	-1	              2			20.12.2022	26.01.2023	P02	            10458594		BC4	EA	            150
			10069508					10069508	BRKT, SEM, iConSCM	DepReq	POitem	         4501737874	                  20	-1	              2			08.12.2022	26.01.2023	S03	            10458594		BC4	EA	            178
			10016810					10016810	MONOLOCK BRACKET UPPER	DepReq	POitem	         4501731077	                  90	-1	              2			20.12.2022	26.01.2023	S03	            10458594		BC4	EA	            178
			10016429					10016429	3 x SEM BRACKET FRONT iCON SCM WELDMENT	DepReq	POitem	         4501731077	                  30	-1	              2			20.12.2022	26.01.2023	C01	            10458594		BC4	EA	            189
			10016811					10016811	SEM SUPPORT ANGLE LEFT iCON SCM	DepReq	POitem	         4501731077	                 130	-1	              2			20.12.2022	26.01.2023	C01	            10458594		BC4	EA	            105
			10020011					10020011	SEM SUPPORT ANGLE RIGHT iCON SCM	DepReq	POitem	         4501731077	                  20	-1	              2			20.12.2022	26.01.2023	C01	            10458594		BC4	EA	            105
			10020013					10020013	SEM SUPPORT ANGLE CENTRE iCON SCM	DepReq	POitem	         4501731077	                 100	-1	              2			20.12.2022	26.01.2023	L02	            10458594		BC4	EA	            105
			BB28-KC0244-01					BB28-KC0244-01	WELDMENT ACCUMULATOR CLAMP (20 LITRE)	DepReq	POitem	         4501735718	                  10	-1	              2			20.12.2022	26.01.2023	S03	            10458594		BC4	EA	            189

				BB17-MX0026-03				BB17-MX0026-03	NUT HEX, M10, A4-80	SubReq	ProjSt			-8					12.08.2022	L02	            10202915		BC5	EA	            176
				BB20011-073				BB20011-073	SHCS HEX, M10X25, A4-80	SubReq	PurRqs	           17535623	                  10	-8	              8	20.10.2022		05.12.2022	12.08.2022	P01	            10202915		BC5	EA	            100

			10016942					10016942	LP ACCUMULATOR BRACKET - LOWER	DepReq	POitem	         4501731077	                  60	-1	              2			20.12.2022	26.01.2023	L02	            10458594		BC4	EA	            240
			10017275					10017275	HP ACCUMULATOR CLAMP WELDMENT	DepReq	ProjSt			-1					26.01.2023	C03	            10458594		U30	EA	             90
			10017016					10017016	SPRT, RND, BAR, 125.5mm LONG	DepReq	POitem	         4501736567	                 130	-2	              4			05.12.2022	26.01.2023	L02	            10458594		BC3	EA	            150
			10017013					10017013	SEM SUPPORT BRACKET iCON SCM WELDMENT	DepReq	POitem	         4501731077	                  50	-1	              2			20.12.2022	26.01.2023	P02	            10458594		BC4	EA	            176
			10017215					10017215	SPRT, RND, BAR, 197.5mm LONG	DepReq	POitem	         4501736567	                 110	-1	              2			05.12.2022	26.01.2023	L02	            10458594		BC3	EA	            150
			10017214					10017214	SPRT, RND, BAR, 441mm LONG	DepReq	POitem	         4501736567	                 120	-1	              2			05.12.2022	26.01.2023	L02	            10458594		BC3	EA	            150
			BB18-KM0952-02					BB18-KM0952-02	PROTECTIVE CAP HP ACCUMULATOR ADAPTOR (S	DepReq	POitem	         4501736567	                  20	-1	              2			05.12.2022	26.01.2023	M01	            10458594		BC3	EA	            116
			10017131					10017131	ACCUMULATOR ADAPTING BRACKET iCON SCM WE	DepReq	POitem	         4501731077	                 120	-1	              2			20.12.2022	26.01.2023	P02	            10458594		BC4	EA	            240
			10118316					10118316	O-RING, 31,6x2,4, NBR70A	DepReq	ProjSt			-10					26.01.2023	C02	            10458594		B02	EA	            114
			10118319					10118319	O-RING, 14,1x1,6, NBR90A	DepReq	Stock			-4					26.01.2023	B15	            10458594		B01	EA	            178
			10118374					10118374	O-RING, 15,1x1,6, NBR90A	DepReq	ProjSt			-2					26.01.2023	C02	            10458594		B02	EA	            114
			10118375					10118375	O-RING, 10,1x1,6, NBR90A	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		B02	EA	            135
			10118874					10118874	FLAT SEAL 10mm OD GAS VALVE FCH TC1.3	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		B02	EA	            163
			10108610					10108610	SHCS HEX, M6X55, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            217
			10108613					10108613	SHCS HEX, M8X55, A4-80	DepReq	POitem	         4501731587	                 120	-34	             68			17.11.2022	26.01.2023	C03	            10458594		BC5	EA	            232
			10118735					10118735	CUSHION RING  - ACCUMULATOR 20L	DepReq	ProjSt			-1					26.01.2023	P02	            10458594		BC3	EA	            120
			10038009					10038009	ACCUMULATOR SUPPORT CUSHION RING,iCON SC	DepReq	ProjSt			-1					26.01.2023	P02	            10458594		BC3	EA	            150
			10059428					10059428	STAUFF PIPE CLAMP LIGHT SERIES 3/8" TUBE	DepReq	ProjSt			-4					26.01.2023	C02	            10458594		BC0	EA	            146
			BB15-080630-49					BB15-080630-49	TUBE CLAMP - 1/4" TUBE SINGLE	DepReq	ProjSt			-3					26.01.2023	P03	            10458594		B02	EA	            217
			BB17-080020-35					BB17-080020-35	COMPOUND, THREAD LOCKING 243, 50ML	DepReq	ProjSt			-1					26.01.2023	C02	            10458594	           15	BC6	EA	            159
			BB17-080020-08					BB17-080020-08	MULTI GASKET COMP LOCTITE 574	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC6	EA	             20
			BB17-080020-16					BB17-080020-16	SEALANT, LOCTITE 567, 250ML, 2087069	DepReq	ProjSt			-1					26.01.2023	C02	            10458594	           15	BC6	EA	            160
			BB20-080015-27					BB20-080015-27	CASTROL SPHEEROL SX2 GREASE-Patron 400ml	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC0	EA	            205
			10109136					10109136	WELDMENT FILTER PLATE, 3.1 CERT	DepReq	PldOrd	          112501653		-1	              1	10.01.2023	17.01.2023	31.01.2023	31.01.2023	A71	            10458594	           10		EA

				10109137				10109137	FILTER PLATE, 3.1 CERT	DepReq	POitem	         4501736567	                  70	-1	              2			05.12.2022	17.01.2023	M01	            10460501		BC3	EA	            116
				BB18-080650-16				BB18-080650-16	MANIFOLD PLUG (A DIA=5.9) (L1=16) ST STL	DepReq	ProjSt			-1					17.01.2023	M01	            10460501		BC3	EA	            116

			10140846					10140846	SHCS HEX, M6X45, A4-80	DepReq	POitem	         4501731587	                 260	-24	             64			25.11.2022	26.01.2023	P01	            10458594		BC5	EA	            216
			10141068					10141068	SHCS HEX, M6X35, A4-80	DepReq	ProjSt			-8					26.01.2023	P01	            10458594		BC5	EA	            232
			BB18-080734-01					BB18-080734-01	BLANKING FLANGE »	DepReq	PurRqs	           16242697	                  10	-2	              4	18.08.2022		20.12.2022	26.01.2023	C02	            10458594		BC3	EA	             86
			10017180					10017180	HP ACCUMULATOR  BRACKET - LOWER	DepReq	POitem	         4501731077	                  80	-1	              2			20.12.2022	26.01.2023	P02	            10458594		BC4	EA	            240
			10046708					10046708	MONOLOCK  SINGLE SEM BRACKET UPPER	DepReq	POitem	         4501731077	                  70	-1	              2			20.12.2022	26.01.2023	P02	            10458594		BC4	EA	            176
			BB15-081496-10					BB15-081496-10	BU-RING, 11,15x13,37x1,37, PTFE	DepReq	POitem	         4501745284	                 170	-102	          1.696			22.02.2023	26.01.2023	B15	            10458594		B01	EA	            164
			BB15-081496-13					BB15-081496-13	BU-RING, 5,22x7,97x1,33, POM	DepReq	Stock			-78					26.01.2023	B15	            10458594		B01	EA	            159
			BB17-080249-11					BB17-080249-11	SHCS HEX, 1/4-20UNRCX3.0, 316SH	DepReq	ProjSt			-6					26.01.2023	P01	            10458594		BC5	EA	            216
			10143922					10143922	SHCS HEX, M6X80, A4-80	DepReq	ProjSt			-16					26.01.2023	P01	            10458594		BC5	EA	            232
			10126766					10126766	SCREW HEX, M6X25, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            176
			10108612					10108612	SHCS HEX, M8X50, A4-80	DepReq	POitem	         4501731587	                 130	-4	             68			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            216
			10133018					10133018	SHCS HEX, M8X80, A4-80	DepReq	POitem	         4501731587	                  40	-4	              8			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            232
			10143069					10143069	SHCS HEX, M12X20, A4-80	DepReq	POitem	         4501731587	                  90	-4	              8			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            216
			10108615					10108615	SHSS HEX, 12X40 (M10), A4-80	DepReq	ProjSt			-2					26.01.2023	P01	            10458594		BC5	EA	            216
			BB17-080232-14					BB17-080232-14	SCREW HEX, M12 x 20, A4-80	DepReq	POitem	         4501731587	                  30	-1	              2			17.11.2022	26.01.2023	P02	            10458594		BC5	EA	            176
			10126119					10126119	SHCS HEX, M12X55, A4-80	DepReq	POitem	         4501731587	                 220	-4	              8			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            176
			BB17-080297-16					BB17-080297-16	WASHER FLAT M10 FORM'A' ST STL BS4320	DepReq	ProjSt			-24					26.01.2023	C02	            10458594		BC5	EA	            186
			BB17-080543-18					BB17-080543-18	Seal, Bonded, 8,7x14x1, SS+NBR	DepReq	POitem	         4501739714	                  50	-30	             60			04.01.2023	26.01.2023	C02	            10458594		BC0	EA	            187
			10020015					10020015	ACCUMULATOR SUPPORT BRACKET iCON SCM	DepReq	POitem	         4501731077	                 110	-1	              2			20.12.2022	26.01.2023	S03	            10458594		BC4	EA	            240
			BB17-080665-49					BB17-080665-49	COLLAR 3/8" MPAC	DepReq	ProjSt			-21					26.01.2023	C02	            10458594		B02	EA	            202
			BB19-KC0215-12					BB19-KC0215-12	ADAPTOR ACCUMULATOR	DepReq	ProjSt			-1					26.01.2023	S03	            10458594		BC3	EA	            150
			BB15-081496-25					BB15-081496-25	BU-RING, 56,25x58,37x2,37, PTFE	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		TS9	EA	            129
			10146994					10146994	ACCUMULATOR ADAPTOR	DepReq	POitem	         4501736567	                  60	-1	              2			05.12.2022	26.01.2023	M01	            10458594		BC3	EA	            150
			10178130					10178130	ACC HP ADPTR 1/4" MPAC 759 BAR	DepReq	ProjSt			-1					26.01.2023	M01	            10458594		BC3	EA	            150
			10178235					10178235	ACC LP CHG ADPTR 1/4" MPAC 379 BAR	DepReq	POitem	         4501736567	                  50	-1	              2			05.12.2022	26.01.2023	P02	            10458594		BC3	EA	            120
			10178236					10178236	ACC HP CHG ADPTR 1/4" MPAC 759 BAR	DepReq	POitem	         4501736567	                  40	-1	              2			05.12.2022	26.01.2023	P02	            10458594		BC3	EA	            180
			BB20-080098-01					BB20-080098-01	O-RING, 19,6x2,4, NBR90A	DepReq	Stock			-6					26.01.2023	B15	            10458594		B01	EA	            178
			BW11-083401-38					BW11-083401-38	SEL V/V 24 VDC D/COIL 569 BAR, WATER	DepReq	ProjSt			-13					26.01.2023	S03	            10458594		BA1	EA	            205
			BW11-KC3405-38					BW11-KC3405-38	FAILSAFE V/V 569 BAR 24V D/COIL, WATER	DepReq	ProjSt			-1					26.01.2023	S03	            10458594		BA1	EA	            205
			BW11-KS0594-01					BW11-KS0594-01	SWOVR V/V HP SWT 1035 BAR DP DUAL, WATER	DepReq	POitem	         4501726116	                  60	-1	              2			07.11.2022	26.01.2023	S03	            10458594		BA1	EA	            260
			BW11-KS0594-02					BW11-KS0594-02	SWOVR V/V LP 379 BAR 24V DUAL SWT, WATER	DepReq	POitem	         4501726116	                  70	-1	              2			23.11.2022	26.01.2023	S03	            10458594		BA1	EA	            205
			BW11-083115-70					BW11-083115-70	E/H HP SEL V/V 1034 BAR 24V DUAL, WATER	DepReq	PurRqs	           17581094	                  10	-5	              4	28.10.2022		12.07.2023	26.01.2023	S03	            10458594		BA1	EA	            230
			BW11-KS0532-09					BW11-KS0532-09	SPR RET V/V 379 BAR 24V DUAL SWT, WATER	DepReq	POitem	         4501726116	                  50	-4	              8			07.11.2022	26.01.2023	S03	            10458594		BC7	EA	            205
			10301142					10301142	BLANKING PLUG SAE 7/8"-14 UNF, L = 28MM	DepReq	ProjSt			-6					26.01.2023	M01	            10458594		BC3	EA	            159
			BB20-080119-05					BB20-080119-05	O-RING, 4,47x1,78, NBR90A	DepReq	Stock			-78					26.01.2023	B15	            10458594		B01	EA	            159
			BB20-KC0010-01					BB20-KC0010-01	O-RING, 35,6x2,4, NBR90A	DepReq	Stock			-3					26.01.2023	B15	            10458594		B01	EA	            141
			BB20-KM0059-01					BB20-KM0059-01	O-RING, 14x1,78, NBR90A	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		TS9	EA	            119
			10228413					10228413	SHCS HEX, M6X50, A4-80	DepReq	ProjSt			-12					26.01.2023	P01	            10458594		BC5	EA	            216
			10022593					10022593	SHCS HEX, M8X40, A4-80	DepReq	POitem	         4501731587	                 110	-4	              8			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            232
			10213303					10213303	TUBE 3/8"OD x 0.065" WALL LOW S <22HRc	DepReq	ProjSt			-6					26.01.2023	C02	            10458594		M25	M	            186
			10210576					10210576	TUBE 3/8" O/D X 0.203" I/D STSTL 316 20	DepReq	PurRqs	           17584234	                  10	-7	              2	28.10.2022		18.05.2023	26.01.2023	C02	            10458594		M25	M	            175
			BB20-080009-11					BB20-080009-11	O-RING, 9,1x1,6, NBR90A	DepReq	ProjSt			-8					26.01.2023	C02	            10458594		TS9	EA	            128
			10210121					10210121	SHCS HEX, 1/4-20UNRCX1,25, 316SH	DepReq	ProjSt			-8					26.01.2023	P01	            10458594		BC5	EA	            216
			BB20-080009-12					BB20-080009-12	O-RING, 8,1x1,6, NBR90A	DepReq	ProjSt			-102					26.01.2023	B15	            10458594		TS9	EA	            124
			BB20-080016-23					BB20-080016-23	O-RING, 19,99x5,33, NBR 50A	DepReq	Stock			-7					26.01.2023	B15	            10458594		B01	EA	            164
			10210124					10210124	SHCS HEX, 1/4-20UNRCX1, 316SH	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            176
			10165443					10165443	SHCS HEX, M6X14, A4-80	DepReq	POitem	         4501731587	                 180	-48	             96			25.11.2022	26.01.2023	P01	            10458594		BC5	EA	            100
			BB17-MX0008-00					BB17-MX0008-00	SHCS HEX, M6X16, A4-80	DepReq	POitem	         4501731587	                 310	-34	             68			25.11.2022	26.01.2023	C03	            10458594		BC5	EA	            176
			10006148					10006148	SHCS HEX, M8X20, A4-80	DepReq	POitem	         4501731587	                 320	-23	             46			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            202
			10199979					10199979	SHCS HEX, M8X50, 718	DepReq	ProjSt			-6					26.01.2023	P01	            10458594		BC5	EA	            216
			10199981					10199981	SHCS HEX, M8X115, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            232
			BB20011-073					BB20011-073	SHCS HEX, M10X25, A4-80	DepReq	PurRqs	           17535623	                  10	-2	              8	20.10.2022		05.12.2022	26.01.2023	P01	            10458594		BC5	EA	            100
			BB17-MX0020-05					BB17-MX0020-05	SHCS HEX, M10X30, A4-80	DepReq	ShpgNt	         4501740336	                  20	-4	              8			09.01.2023	26.01.2023	P01	            10458594		BC5	EA	            196
			10129764					10129764	SHCS HEX, M10X20, A4-80	DepReq	ProjSt			-2					26.01.2023	P01	            10458594	           10	BC5	EA	            176
			BS0000411					BS0000411	SHCS HEX, M10X50, A4-80	DepReq	POitem	         4501731587	                 230	-6	             22			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            176
			BS0000411					BS0000411	SHCS HEX, M10X50, A4-80	DepReq	POitem	         4501731587	                 230	-5	             22			17.11.2022	26.01.2023	P01	            10458594		BC5	EA	            176
			10216040					10216040	SCREW HEX, M10X25, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            232
			BS0000907					BS0000907	GL ASSY ANTI VIB 3/8 MP KCBGLX60-316MC	DepReq	Stock			-21					26.01.2023	B15	            10458594		BC5	EA	            202
			10199613					10199613	O-RING, 51,6x2,4, NBR90A	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		B02	EA	            128
			10197083					10197083	SHCS HEX, M8X90, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            110
			BS0000906					BS0000906	GL ASSY ANTI VIB 1/4 MP KCBGLX40-316MC	DepReq	ProjSt			-4					26.01.2023	P02	            10458594		B02	EA	            128
			10210575					10210575	TUBE 1/4"ODx0.109"ID 20000psi MWP 316 SS	DepReq	Stock			-6					26.01.2023	B15	            10458594		B01	M	            175
			10341885					10341885	WELDMENT BASEPLATE 33xHYD, 12x4/7 W ELEC	DepReq	QM-lot	        10003206978		-1	              1		11.10.2022	11.10.2022	26.01.2023	U01	            10458594		BC8	EA	            189
			10129657					10129657	CHECK VALVE 1/2" NPT(M) 25psi SS-8CP2-25	DepReq	ProjSt			-3					26.01.2023	P02	            10458594		BC0	EA	            197
			BS0000868					BS0000868	TEE, 3/8 TSW, SS-6-TSW-3	DepReq	ProjSt			-4					26.01.2023	P02	            10458594		BC0	EA	            197
			BS0001165					BS0001165	COLLAR 1/4 MP(F) CCLX40	DepReq	ProjSt			-4					26.01.2023	P02	            10458594		B02	EA	            121
			BB17-MX0026-03					BB17-MX0026-03	NUT HEX, M10, A4-80	DepReq	PurRqs	           17581447	                  10	-8	              8	28.10.2022		19.05.2023	26.01.2023	L02	            10458594		BC5	EA	            176
			BB17-MX0021-01					BB17-MX0021-01	NUT HEX, M6, A4-80	DepReq	ProjSt			-4					26.01.2023	P01	            10458594		BC5	EA	            176
			BB17-MX0105-20					BB17-MX0105-20	SCREW HEX, M10 x 20, A4-80	DepReq	ProjSt			-12					26.01.2023	C03	            10458594		BC5	EA	            202
			BB17-MX0026-03					BB17-MX0026-03	NUT HEX, M10, A4-80	DepReq	PurRqs	           17581447	                  10	-4	              8	28.10.2022		19.05.2023	26.01.2023	L02	            10458594		BC5	EA	            176
			10289694					10289694	BU-RING, 16,37x17,97x1,47, PTFE	DepReq	Stock			-10					26.01.2023	B15	            10458594		B01	EA	            164
			10289693					10289693	O-RING, 12,42x1,78, NBR90A	DepReq	Stock			-10					26.01.2023	B15	            10458594		B01	EA	            164
			10243227					10243227	DOWEL - PIN 6MM DIA (h6) X 20MM LG ST ST	DepReq	ProjSt			-10					26.01.2023	C02	            10458594		BC5	EA	            202
			BB11-KS1012-32					BB11-KS1012-32	CLPG,1/4"NB(F)(S),NAT I'FCE,10 SAE,K500	DepReq	ProjSt			-5					26.01.2023	S03	            10458594	           10	BA1	EA	            249
			BB11-KS1012-82					BB11-KS1012-82	CLPG,1/4"NB(F)(WB),NAT I'FCE,10 SAE,K500	DepReq	ProjSt			-2					26.01.2023	S03	            10458594		BA1	EA	            249
			10108636					10108636	PLUG, 3/8" MPAC	DepReq	ProjSt			-3					26.01.2023	C02	            10458594		M25	EA	            202
			BB17-080665-22					BB17-080665-22	GLAND NUT  3 8  AE MP	DepReq	ShpgNt	         4501735926	                  40	-3	             50			21.09.2022	26.01.2023	C02	            10458594		BC5	EA	            127
			10096561					10096561	WASHER FLAT, M8, ISO 7089, A4	DepReq	POitem	         4501743688	                  20	-12	             24			05.12.2022	26.01.2023	P01	            10458594		BC5	EA	            120
			BS0000503					BS0000503	WASHER FLAT, M12, ISO 7089, A4	DepReq	ProjSt			-4					26.01.2023	U01	            10458594		BC5	EA	            150
			BB88-080017-05					BB88-080017-05	CRIMP MINISEAL SPLICE YELLOW D-436-38	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC0	EA	            120
			BB15-080265-85					BB15-080265-85	ADHESIVE LINED HEAT SHRINK TUBE 3MM ID 1	DepReq	ProjSt			-1					26.01.2023	S03	            10458594		BC5	EA	             30
			BB15-080265-09					BB15-080265-09	ADHESIVE LINED HEAT SHRINK TUBE 6MM ID 2	DepReq	PurRqs	           15941747	                  10	-1	              2	04.10.2022		07.11.2022	26.01.2023	L02	            10458594		BC5	EA	            189
			BB88-080017-18					BB88-080017-18	CRIMP TERMINAL M6 RING TYPE	DepReq	POitem	         4501738660	                  20	-1	              2			18.11.2022	26.01.2023	L02	            10458594		BC5	EA	            189
			10013160					10013160	Trunking, Slotted, 24mm x 37mm, Grey	DepReq	PurRqs	           17580995	                  10	-1	              1	02.12.2022		26.01.2023	26.01.2023	L02	            10458594		BC0	M	             30
			10013138					10013138	Trunking, Slotted, 40mm x 40mm, Black	DepReq	POitem	         4501738660	                  50	-1	              2			18.11.2022	26.01.2023	L02	            10458594		BC5	M	            189
			10013135					10013135	Trunking, Slotted, 50mm x 50mm, Black	DepReq	POitem	         4501738660	                  40	-1	              2			18.11.2022	26.01.2023	L02	            10458594		BC0	M	             30
			10013134					10013134	Trunking, Slotted, 37.5mm x 37.5mm, Grey	DepReq	POitem	         4501738660	                  30	-1	              2			18.11.2022	26.01.2023	L02	            10458594		BC0	M	             30
			10013119					10013119	FLAT STEEL, 25mm x 5mm, SS	DepReq	PurRqs	           15941751	                  10	-1	              2	16.11.2022		20.12.2022	26.01.2023	L02	            10458594		BC0	M	             30
			BB17-060056-12					BB17-060056-12	SLOTTED PAN HEAD SCREW, M6 X 16, A4-80	DepReq	POitem	         4501731587	                 370	-1	              2			25.11.2022	26.01.2023	P01	            10458594		BC5	EA	            189
			BB87-080001-97					BB87-080001-97	EARTH STRAP 6MM DIA S/ST CABLE	DepReq	ProjSt			-1					26.01.2023	L02	            10458594		BC0	EA	             30
			10147856					10147856	SPLICE BOOT 16 - 22 AWG	DepReq	ProjSt			-1					26.01.2023	L02	            10458594		BC7	EA	             30
			10147857					10147857	SPLICE CRIMP 16 - 22 AWG	DepReq	ProjSt			-1					26.01.2023	L02	            10458594		BC7	EA	             30
			10187811					10187811	SEAL RING TERMINAL M6 16-14 AWG BLUE	DepReq	ProjSt			-1					26.01.2023	L02	            10458594		BC5	EA	            180
			BB15-080432-13					BB15-080432-13	CABLE TIE 145 LGx3.4MM WD EXT SERRATION	DepReq	ProjSt			-100					26.01.2023	C02	            10458594		BC0	EA	            145
			10167297					10167297	CRIMP MINISEAL SPLICE (RED) D-436-36*	DepReq	ProjSt			-100					26.01.2023	C02	            10458594		BC0	EA	            190
			BB15-082811-01					BB15-082811-01	SPIRAL WRAP BUNDLE DIA 1.5 – 10.0MM	DepReq	ProjSt			-7					26.01.2023	C02	            10458594		BC0	EA	            159
			BB15-082811-02					BB15-082811-02	SPIRAL WRAP BUNDLE DIA 4.0 – 25.0MM	DepReq	ProjSt			-4					26.01.2023	C02	            10458594		BC0	EA	            159
			10236327					10236327	WIRE FLEXLITE FLHTC0311-22-9	DepReq	ProjSt			-25					26.01.2023	C02	            10458594		BC0	M	            243
			BB15-082810-01					BB15-082810-01	SLEEVE TMS READYPRINT 18/12 YELLOW	DepReq	ProjSt			-1.200					26.01.2023	C02	            10458594		BC5	EA	            120
			BB15-080432-13					BB15-080432-13	CABLE TIE 145 LGx3.4MM WD EXT SERRATION	DepReq	ProjSt			-300					26.01.2023	C02	            10458594		BC0	EA	            145
			BB15-080750-50					BB15-080750-50	CABLE TIE 245 LGx4.6mm WD EXT SERRATION	DepReq	ProjSt			-300					26.01.2023	S03	            10458594		BC0	EA	            159
			10009295					10009295	FLUX CLEANER - VERTREL SION	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC6	KG	             20
			10167297					10167297	CRIMP MINISEAL SPLICE (RED) D-436-36*	DepReq	PurRqs	           17584247	                  10	-300	            100	28.10.2022		02.06.2023	26.01.2023	C02	            10458594		BC0	EA	            190
			10167025					10167025	CRIMP MINISEAL SPLICE BLUE D-436-37	DepReq	PurRqs	           15947536	                  10	-300	            600	12.08.2022		14.12.2022	26.01.2023	C02	            10458594		BC0	EA	            190
			10167354					10167354	STUB SPLICE RED	DepReq	POitem	         4501728470	                  61	-200	            335			20.12.2022	26.01.2023	C02	            10458594		BC0	EA	            190
			BB15-082811-01					BB15-082811-01	SPIRAL WRAP BUNDLE DIA 1.5 – 10.0MM	DepReq	ProjSt			-14					26.01.2023	C02	            10458594		BC0	EA	            159
			BB15-082811-02					BB15-082811-02	SPIRAL WRAP BUNDLE DIA 4.0 – 25.0MM	DepReq	ProjSt			-11					26.01.2023	C02	            10458594		BC0	EA	            159
			BB15-082811-03					BB15-082811-03	SPIRAL WRAP BUNDLE DIA 9.0 – 32.0MM	DepReq	ProjSt			-10					26.01.2023	C02	            10458594		BC5	EA	            159
			BB15-081549-02					BB15-081549-02	SOLDER LOW TEMP BS441	DepReq	PurRqs	           17581389	                  10	-1	              1	03.11.2022		26.01.2023	26.01.2023	C02	            10458594		BC0	EA	             60
			10144064					10144064	SOLDER SLEEVE TERMINATION 3.7 TO 4.2	DepReq	ProjSt			-30					26.01.2023	S03	            10458594		BC5	EA	            160
			10236327					10236327	WIRE FLEXLITE FLHTC0311-22-9	DepReq	ProjSt			-55					26.01.2023	C02	            10458594		BC0	M	            243
			BB88-080017-17					BB88-080017-17	CRIMP TERMINAL M6 RING TYPE	DepReq	ProjSt			-15					26.01.2023	C02	            10458594		BC0	EA	            120
			10233489					10233489	HEAT SHRINK TUBE, 6:2 MM, TRANSPARENT	DepReq	ProjSt			-70					26.01.2023	C02	            10458594		BC0	M	            243
			10236328					10236328	NYLON TUBING 6MM OD X 4.5MM ID (NATURAL)	DepReq	PurRqs	           16189691	                  10	-75	             45	17.08.2022		26.01.2023	26.01.2023	C02	            10458594		BC0	M	            160
			10236340					10236340	BRAIDED NYLON SLEEVING NOM DIA 8MM	DepReq	PldOrd	          111277888		-75	            150	09.06.2022	08.07.2022	20.12.2022	26.01.2023	C02	            10458594		BC7	M	            160
			10236341					10236341	SCREENING BRAID HBT99-04.0-2/0-F	DepReq	PldOrd	          111277890		-75	             25	20.07.2022	17.08.2022	26.01.2023	26.01.2023	C02	            10458594		BC5	M	            160
			10176532					10176532	TUBING HEAT SHRINK DIA19/6 ADHESIVE LINE	DepReq	ProjSt			-1					26.01.2023	C02	            10458594		BC5	M	            120
			10152734					10152734	OBSOLETE - USE BB17-MX0021-01	DepReq	ProjSt			-16					26.01.2023	C02	            10458594		BC5	EA	            232
			BB17-080297-13					BB17-080297-13	WASHER FLAT M6 FORM'A' ST STL BS4320	DepReq	ProjSt			-16					26.01.2023	C02	            10458594		BC5	EA	            202
			BB17-080196-28					BB17-080196-28	WASHER, SINGLE COIL, M6, DIN 127 B, A4	DepReq	ProjSt			-16					26.01.2023	C02	            10458594		BC5	EA	            186
