
Project							Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

		10333522					10333522	ASSY, SIMPLIFIED TREE RUNNING TOOL	OrdRes	PldOrd	          112487042		-1	              1	29.06.2023	06.07.2023	08.09.2023	08.09.2023	A41	             8797722	           45	BC8	EA

			10352394				10352394	MACH, MAIN BODY, SIMPLIFIED TRT	DepReq	PldOrd	          112486053		-1	              1	14.02.2023	24.02.2023	06.07.2023	06.07.2023	M11	            10456579	           90	BC8	EA
			10352395				10352395	MACH, UPPER BODY, STRT	DepReq	PurRqs	           17555921	                  10	-1	              1	26.01.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            135

				10355877			10355877	UPPER BODY PLATE, FORGING	SubReq	POitem	         4501740493	                  70	-1	              4			07.03.2023	26.01.2023	F01	            10457803		BC2	EA	            180

			10119171				10119171	LOAD KEY, MACHINING	DepReq	PurRqs	           17555588	                  10	-1	              1	31.01.2023		06.07.2023	06.07.2023	U04	            10456579		BC8	EA	            130

				BBFJD003085			BBFJD003085	BAR CHATA FORJ 3 1/2" X 2 1/2" 4130	SubReq	POitem	         4501740497	                  20	-0,150	          0,600			16.02.2023	31.01.2023	F01	            10457323		BC2	M	            115

			10119111				10119111	STEM - 490.5mm, MACHINING	DepReq	PurRqs	           17556093	                  10	-2	              2	26.01.2023		06.07.2023	06.07.2023	U04	            10456579		BC8	EA	            135

				BBBAR035012			BBBAR035012	BAR RED AISI E4340H DIA 55,0 MM	SubReq	POitem	         4501740500	                  30	-1,040	          4,160			24.01.2023	26.01.2023	F01	            10457695		BC2	M	            115

			10352449				10352449	MACH, EXTERNAL SLEEVE	DepReq	PurRqs	           17556985	                  10	-4	              4	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10314013				10314013	MACH, GUIDE PIN, 80K	DepReq	PurRqs	           17557951	                  10	-4	              4	03.03.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            100

				BBFJD003063			BBFJD003063	BAR CHATA FORJ 3" X 6" 4130	SubReq	PurRqs	           17533411	                  10	-0,480	          2,080	20.10.2022		03.03.2023	03.03.2023	F01	            10459552		BC2	M	            115

			10352447				10352447	ASSY, ROV PANEL I, STRT	DepReq	PurRqs	           17497878	                  10	-1	              1	08.12.2022		14.06.2023	06.07.2023	A23	            10456579	           10	BC4	EA	            165

				BBPFE014282			BBPFE014282	CSK HEX SCR, 3/8-16x1.3/8-FT, AISI316	SubReq	PurRqs	           17363575	                  10	-28	            400	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBPOR091016			BBPOR091016	HVY NUT, 3/8-16, AISI316	SubReq	PurRqs	           17363593	                  10	-28	            420	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBPFE014282			BBPFE014282	CSK HEX SCR, 3/8-16x1.3/8-FT, AISI316	SubReq	PurRqs	           17363575	                  10	-8	            400	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBPOR091016			BBPOR091016	HVY NUT, 3/8-16, AISI316	SubReq	PurRqs	           17363593	                  10	-8	            420	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBPOR085005			BBPOR085005	POR SEXT PES 1" ASTM A194 GR 2HM	SubReq	PurRqs	           17363380	                  10	-2	             41	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            120
				BBPFC029220			BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	PurRqs	           17363678	                  10	-8	            248	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBARR007018			BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	SubReq	PurRqs	           17363688	                  10	-24	            176	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            135
				10114449			10114449	DIRECTIONAL BALL VALVE, CON MP 9/16" OD	SubReq	PurRqs	           17363703	                  10	-6	             42	27.09.2022		09.01.2023	31.03.2023	V01	            10330062		BC0	EA	            159
				BBARR004005			BBARR004005	PL WSHR, 10,5, B18.22.1-A, AISI316	SubReq	PurRqs	           17363713	                  10	-12	             84	27.09.2022		09.01.2023	31.03.2023	L02	            10330062		BC5	EA	            150
				BBPFC034230			BBPFC034230	HEXSO SCR, 1/4-20x2.1/2-FT, AISI316	SubReq	PurRqs	           17363708	                  10	-24	            168	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            160
				BBPFC029220			BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	PurRqs	           17363678	                  10	-12	            248	27.09.2022		09.01.2023	31.03.2023	P01	            10330062		BC5	EA	            192
				BBPOR091019			BBPOR091019	HVY NUT,1/4-20,AISI316	SubReq	PurRqs	           17366996	                  10	-24	            145	04.10.2022		15.02.2023	31.03.2023	P01	            10330062		BC5	EA	            160

			10356558				10356558	ASSY, ROV PANEL II, STRT	DepReq	PurRqs	           17498016	                  10	-1	              1	25.11.2022		05.06.2023	06.07.2023	A23	            10456579	           10	BC4	EA	            165

				BBPFE014282			BBPFE014282	CSK HEX SCR, 3/8-16x1.3/8-FT, AISI316	SubReq	PurRqs	           17363575	                  10	-16	            400	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBPOR091016			BBPOR091016	HVY NUT, 3/8-16, AISI316	SubReq	PurRqs	           17363593	                  10	-16	            420	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBPFE014282			BBPFE014282	CSK HEX SCR, 3/8-16x1.3/8-FT, AISI316	SubReq	PurRqs	           17363575	                  10	-28	            400	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBPOR091016			BBPOR091016	HVY NUT, 3/8-16, AISI316	SubReq	PurRqs	           17363593	                  10	-28	            420	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBPOR085005			BBPOR085005	POR SEXT PES 1" ASTM A194 GR 2HM	SubReq	PurRqs	           17363380	                  10	-7	             41	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            120
				BBPFC029220			BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	PurRqs	           17363678	                  10	-28	            248	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBARR007018			BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	SubReq	PurRqs	           17363688	                  10	-8	            176	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            135
				10114449			10114449	DIRECTIONAL BALL VALVE, CON MP 9/16" OD	SubReq	PurRqs	           17363703	                  10	-2	             42	27.09.2022		09.01.2023	31.03.2023	V01	            10330066		BC0	EA	            159
				BBARR004005			BBARR004005	PL WSHR, 10,5, B18.22.1-A, AISI316	SubReq	PurRqs	           17363713	                  10	-4	             84	27.09.2022		09.01.2023	31.03.2023	L02	            10330066		BC5	EA	            150
				BBPFC034230			BBPFC034230	HEXSO SCR, 1/4-20x2.1/2-FT, AISI316	SubReq	PurRqs	           17363708	                  10	-8	            168	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            160
				BBPFC029220			BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	PurRqs	           17363678	                  10	-4	            248	27.09.2022		09.01.2023	31.03.2023	P01	            10330066		BC5	EA	            192
				BBPOR091019			BBPOR091019	HVY NUT,1/4-20,AISI316	SubReq	PurRqs	           17366996	                  10	-8	            145	04.10.2022		15.02.2023	31.03.2023	P01	            10330066		BC5	EA	            160

			10352445				10352445	WLDMT, HYD JUMPER FRAME, STRT	DepReq	PurRqs	           17458413	                  10	-2	              8	03.11.2022		27.04.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10356620				10356620	WLDMT, REMOVABLE PLATE STABPLATE T-HID	DepReq	PurRqs	           17333222	                  10	-1	              4	14.10.2022		08.03.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10356557				10356557	WLDMT, T-WO JUMPER FRAME, STRT	DepReq	PurRqs	           17556247	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10356621				10356621	WLDMT, REMOVABLE STABPLATE T-WO	DepReq	PurRqs	           17333270	                  10	-1	              4	10.10.2022		29.03.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10356623				10356623	WLDMT, UPPER GRID	DepReq	PurRqs	           17458405	                  10	-2	              8	03.11.2022		27.04.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10356622				10356622	WLDMT, BULLSEYE LEVEL FRAME	DepReq	PurRqs	           17458421	                  10	-1	              4	03.11.2022		27.04.2023	06.07.2023	M01	            10456579		BC4	EA	            114
			10128972				10128972	MACH, SOFTLANDING NUT, TRT	DepReq	PurRqs	           17557685	                  10	-3	              3	26.01.2023		06.07.2023	06.07.2023	U04	            10456579		BC8	EA	            135

				10060300			10060300	HOLLOW BAR, 5-1/4"x 2-1/4",4130 80K PSL3	SubReq	POitem	         4501742117	                  40	-0,180	          0,720			02.02.2023	26.01.2023	F01	            10459285		BC2	M	            150

			10355883				10355883	MACH, STAB, AX 2"	DepReq	PurRqs	           17555595	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10355882				10355882	MACH, STAB, AX 5"	DepReq	PurRqs	           17555684	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10356568				10356568	MACH, AX2 STAB RETAINER	DepReq	PurRqs	           17555605	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10356569				10356569	MACH, AX5 STAB RETAINER	DepReq	PurRqs	           17555688	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10356806				10356806	DISC SPRING AX	DepReq	PurRqs	           17556150	                  10	-6	              6	15.12.2022		06.07.2023	06.07.2023	Y01	            10456579		BC3	EA	            180
			10352473				10352473	HYDRAULIC DIAGRAM, SIMPLIFIED TRT	DepReq	PldOrd	          112487385		-1	              1	22.05.2023	20.06.2023	06.07.2023	06.07.2023	A23	            10456579	           10	BC8	EA	             15

				10108251			10108251	REDUCING UNION FOR TUBE OD 1/2"xOD 3/8"	DepReq	PurRqs	           17294827	                  10	-1	              4	03.10.2022		28.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10084200			10084200	CONNECTOR FOR TUBE OD 3/8"xOD 3/8"	DepReq	PurRqs	           17230975	                  10	-14	             56	29.09.2022		03.04.2023	20.06.2023	C02	            10457976		BC0	EA	            159
				10076845			10076845	MALE CONNECTOR TUBE OD 3/8" x 1/2" NPT	DepReq	POitem	         4501741675	                 140	-6	             46			24.02.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10140268			10140268	NEEDLE VLV OD 3/8" SS HANDLE 5000 PSI	DepReq	PurRqs	           17291005	                  10	-3	             12	26.09.2022		17.03.2023	20.06.2023	V01	            10457976		BC5	EA	            150
				BBFIL000005			BBFIL000005	FILTRO DE LINHA 1/2" NPT 40 MICRA	DepReq	PurRqs	           17289569	                  10	-1	              6	29.09.2022		22.03.2023	20.06.2023	C03	            10457976		BC5	EA	            150
				10072596			10072596	MALE CONNECTOR 3/8" OD X 3/8" NPT	DepReq	POitem	         4501741675	                 180	-6	             34			22.05.2023	20.06.2023	C02	            10457976		BC0	EA	            159
				10084210			10084210	REDUCING UNION FOR TUBE OD 1/2"xOD 3/8"	DepReq	PurRqs	           17294624	                  10	-4	             16	03.10.2022		28.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10087430			10087430	CAP JIC DASH 4	DepReq	PurRqs	           17294940	                  10	-3	             73	04.10.2022		05.04.2023	20.06.2023	C02	            10457976		BC0	EA	            159
				10072747			10072747	UNION TEE FOR TUBE OD 3/8"	DepReq	POitem	         4501741675	                 170	-12	             54			24.02.2023	20.06.2023	C02	            10457976		BC0	EA	            159
				10072598			10072598	MALE CONNECTOR 1/2" TUBE X 1/2" NPT	DepReq	PurRqs	           17294652	                  10	-7	             28	22.09.2022		24.02.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10072547			10072547	SHUTTLE VALVE 3/8", SPRING RETURN	DepReq	PurRqs	           17168015	                  10	-3	             12	01.10.2022		14.03.2023	20.06.2023	C03	            10457976		BC1	EA	            150
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-3	             40			16.02.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-3	             40			16.02.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10084311			10084311	MALE STR CONNECTOR TUBE OD 1/2"x3/8" NPT	DepReq	PurRqs	           17292118	                  10	-9	             36	03.10.2022		28.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10084892			10084892	MALE CONNECTOR OD 3/8" x JIC DASH 4	DepReq	PurRqs	           17339972	                  10	-3	             13	29.09.2022		03.04.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10084644			10084644	REDUCING TEE OD 1/2"x OD 1/2"x OD 3/8"	DepReq	PurRqs	           17289574	                  10	-3	             12	27.09.2022		29.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10072746			10072746	UNION TEE FOR TUBE OD 1/2"	DepReq	PurRqs	           17294620	                  10	-6	             24	22.09.2022		03.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-30	            218	14.09.2022		24.02.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10099567			10099567	MALE STR CONN TUB OD 1/2"x13/16"-16UNF-2	DepReq	PurRqs	           17294656	                  10	-9	             36	03.10.2022		28.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				10028344			10028344	UNION, 3/8 TBG, SWAGELOK 2507-600-6	DepReq	PurRqs	           17230896	                  10	-2	             20	29.09.2022		03.04.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	PurRqs	           17332471	                  10	-42	            205	28.09.2022		30.03.2023	20.06.2023	P02	            10457976		BC0	M	            159
				BBTUB180004			BBTUB180004	TUBING SS ASTM A269 TP 316L SL 1/2" OD	DepReq	PurRqs	           17295812	                  10	-24	             96	27.09.2022		29.03.2023	20.06.2023	P02	            10457976		BC5	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-24	            259	26.09.2022		24.02.2023	20.06.2023	P02	            10457976		BC5	M	            159
				BBAFI002004			BBAFI002004	CONJUNTO DE FIXACAO 1/2" REF- PARKER	DepReq	PurRqs	           17032556	                  10	-10	             50	01.10.2022		15.03.2023	20.06.2023	C02	            10457976		BC5	EA	            159
				BBAFI002001			BBAFI002001	FIXING SET 3/8î REF - PARKER	DepReq	PurRqs	           16937156	                  10	-20	            220	23.09.2022		24.02.2023	20.06.2023	L02	            10457976		BC5	EA	            150

			10122051				10122051	HVY NUT,1.1/8-8,A194 4/7	DepReq	PurRqs	           17336565	                  10	-8	             32	01.10.2022		22.03.2023	06.07.2023	P01	            10456579		BC5	EA	            120
			10360473				10360473	FLANGE, BX-151, 69 MPa, 9/16" MP	DepReq	PurRqs	           17556069	                  10	-2	              2	26.01.2023		06.07.2023	06.07.2023	P02	            10456579	           30	BC8	EA	            135

				10360471			10360471	PRE-CLAD, FLANGE, BX-151, 69 MPa	SubReq	POitem	         4501740493	                  80	-2	              8			14.03.2023	26.01.2023	P02	            10457991		BC2	EA	            165

			10075376				10075376	GUIDE PIN, MACH, 4130, 105K	DepReq	PurRqs	           17555584	                  10	-3	              3	26.01.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            135

				10061282			10061282	ROUND BAR, 2 5/8", 4130 105K	SubReq	POitem	         4501740500	                  20	-0,249	          0,996			24.01.2023	26.01.2023	F01	            10457592		BC2	M	            115

			10313455				10313455	MACH, POSITION INDICATOR	DepReq	PurRqs	           16969326	                  10	-2	              8	20.09.2022		22.02.2023	06.07.2023	U01	            10456579		BC3	EA	            114
			10087797				10087797	INCLIN. MEAS. BUBBLE TYPE - 0∫-5∫ 2500M	DepReq	PurRqs	           17292122	                  10	-2	              8	29.09.2022		22.03.2023	06.07.2023	C03	            10456579		BC0	EA	            150
			10097007				10097007	BULL EYE LOCK PLATE, ASTM A36, MACHINING	DepReq	PurRqs	           17289946	                  10	-6	             24	20.10.2022		12.04.2023	06.07.2023	C01	            10456579		BC4	EA	            150
			10122510				10122510	HEXSO SCR,3/8-16x3.1/4,A193 B7M	DepReq	PurRqs	           17532795	                  10	-8	             32	20.10.2022		05.05.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			BB91-BDE-210				BB91-BDE-210	BX151 GASKET, UNS N08825	DepReq	PurRqs	           17537000	                  10	-2	             10	02.11.2022		08.05.2023	06.07.2023	M01	            10456579		BC0	EA	             99
			10354876				10354876	ST BLT,1.1/8-8x5.3/8, A320 L7	DepReq	PurRqs	           17576740	                  10	-8	             32	03.11.2022		08.05.2023	06.07.2023	P01	            10456579		BC5	EA	            164
			BBGRA003001				BBGRA003001	GRAMPO P/ GRADE MALHA 30 X 100	DepReq	PurRqs	           17576981	                  10	-10	             40	27.10.2022		08.05.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			10364376				10364376	MACH, FASTENER	DepReq	PurRqs	           17581511	                  10	-1	              2	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10364376				10364376	MACH, FASTENER	DepReq	PurRqs	           17581511	                  10	-1	              2	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			10061349				10061349	O'RING REF PARKER 2-357 90 SH A	DepReq	PurRqs	           17581519	                  10	-1	              4	03.11.2022		08.05.2023	06.07.2023	C02	            10456579		B02	EA	            160
			BBANV000743				BBANV000743	ANEL "O" REF PARKER 2-361 90 SH A	DepReq	PurRqs	           17581507	                  10	-2	              2	31.03.2023		06.07.2023	06.07.2023	C02	            10456579		B02	EA	             70
			BBANV000473				BBANV000473	ANEL "O" REF PARKER 2-335 90 SH A	DepReq	PurRqs	           17581515	                  10	-2	              2	31.03.2023		06.07.2023	06.07.2023	C02	            10456579		B02	EA	             70
			BBANV000791				BBANV000791	ANEL "O" REF PARKER 2-330 90 SH A	DepReq	PurRqs	           17581523	                  10	-1	              1	31.03.2023		06.07.2023	06.07.2023	C02	            10456579		B02	EA	             70
			10364386				10364386	MACH, MANIFOLD	DepReq	PurRqs	           17581503	                  10	-1	              1	14.02.2023		06.07.2023	06.07.2023	U01	            10456579		BC3	EA	            114
			10364387				10364387	WLDMT, POSITION INDICATOR, STRT	DepReq	PurRqs	           17581499	                  10	-2	              2	14.02.2023		06.07.2023	06.07.2023	M01	            10456579		BC3	EA	            114
			BBPFS070225				BBPFS070225	PF SEXT 1/4" X 1" AISI 316	DepReq	ShpgNt	         4501739684	                  70	-6	              6			22.11.2022	06.07.2023	P01	            10456579		BC5	EA	            160
			10121863				10121863	HEXSO SCR,1-8x6,A193 B7M	DepReq	PurRqs	           17582910	                  10	-16	             16	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			BBPOR082003				BBPOR082003	HVY NUT,3/4-10,A194 2H	DepReq	PurRqs	           17583891	                  10	-12	             12	13.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            150
			BBPFS061312				BBPFS061312	HEX SCR,3/4-10x2.1/8,A193 B7	DepReq	PurRqs	           17582939	                  10	-25	             25	24.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            140
			10121785				10121785	HEXSO SCR,1/2-13x2.1/4,A193 B7M	DepReq	PurRqs	           17583167	                  10	-1	              1	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			10121784				10121784	HEXSO SCR,1/2-13x2,A193 B7M	DepReq	PurRqs	           17583232	                  10	-2	              2	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			10101673				10101673	CSK HEX SCR,1/2-13x1.1/2,AISI316	DepReq	PurRqs	           17584188	                  10	-7	              7	24.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            140
			10121787				10121787	HEXSO SCR,1-8x4,A193 B7M	DepReq	PurRqs	           17582904	                  10	-16	             16	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			10121790				10121790	HEX SCR,1.3/8-8x3.3/8,A193 B7M	DepReq	PurRqs	           17583279	                  10	-8	              8	13.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            150
			10120912				10120912	HEX SCR,1/2-13x1.3/4,A193 B7M	DepReq	PurRqs	           17583292	                  10	-4	              4	13.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            150
			BBPOR082001				BBPOR082001	HVY NUT,1/2-13,A194 2H	DepReq	PurRqs	           17583915	                  10	-4	              4	13.01.2023		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            150
			BBPFC029234				BBPFC029234	PF CIL SEXT INT 5/16" X 1 1/2"  AISI 316	DepReq	PurRqs	           17583680	                  10	-10	             14	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			BBPOR091020				BBPOR091020	POR SEXT PES 5/16" AISI 316	DepReq	PurRqs	           17583504	                  10	-14	             14	13.01.2023		06.07.2023	06.07.2023	C03	            10456579		BC5	EA	            150
			BB91-BDB-236				BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	PurRqs	           17131532	                  10	-1	             14	06.10.2022		01.03.2023	06.07.2023	C02	            10456579		BC5	EA	            120
			BBREB000001				BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	PurRqs	           17427018	                  10	-4	             40	26.10.2022		19.04.2023	06.07.2023	C02	            10456579		BC5	EA	            150
			BBPFC029234				BBPFC029234	PF CIL SEXT INT 5/16" X 1 1/2"  AISI 316	DepReq	PurRqs	           17583680	                  10	-4	             14	15.12.2022		06.07.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			BBARR034019				BBARR034019	EXTTH LK WSHR, 5/16, B18.21.1-A, AISI316	DepReq	PurRqs	           17584123	                  10	-4	              4	08.02.2023		06.07.2023	06.07.2023	L02	            10456579		BC5	EA	            120
			10119036				10119036	COLLET FINGERS, FDM,  MACH	DepReq	PurRqs	           17556713	                  10	-1	              1	26.01.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            135

				10118913			10118913	COLLET FINGERS, 16 3/4", FORGED	SubReq	POitem	         4501740493	                  40	-1	              4			07.03.2023	26.01.2023	F01	            10458530		BC2	EA	            180

			10118879				10118879	ACTUATION SLEEVE, 16 3/4 COL CONN, MACH	DepReq	PurRqs	           17556634	                  10	-1	              1	26.01.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            135

				10118770			10118770	ACTUATION SLEEVE, 4130 105K,  FORGED	SubReq	POitem	         4501740493	                  30	-1	              4			28.03.2023	26.01.2023	F01	            10458059		BC2	EA	            180

			10119038				10119038	GUIDE PIN, MACHINING	DepReq	PurRqs	           17556852	                  10	-4	              4	26.01.2023		06.07.2023	06.07.2023	U01	            10456579		BC8	EA	            135

				BBFJD001436			BBFJD001436	BAR RED FORJ DIA 1 1/2" 4130	SubReq	POitem	         4501742210	                  20	-0,400	          1,600			14.02.2023	26.01.2023	F01	            10458637		BC2	M	            115

			10120915				10120915	HEXSO SCR,1/2-13X1,A193 B7M	DepReq	POitem	         4501742745	                  40	-16	             64			12.01.2023	06.07.2023	P01	            10456579		BC5	EA	            150
			10074291				10074291	MACH, INSIDE BODY	DepReq	PurRqs	           17558171	                  10	-2	              2	26.01.2023		06.07.2023	06.07.2023	U01	            10456579	           10	BC8	EA	            135

				10074290			10074290	CLAD, LOWER BODY	SubReq	PurRqs	           17558578	                  10	-2	              1	02.01.2023		26.01.2023	26.01.2023	U01	            10425258	           15	BC8	EA	              1

					10323507		10323507	PRE-CLAD, LOWER BODY	SubReq	POitem	         4501741934	                  20	-1	              8			14.03.2023	02.01.2023	U01	            10425850	           10	BC8	EA	            150
					10323507		10323507	PRE-CLAD, LOWER BODY	SubReq	POitem	         4501741934	                  20	-1	              8			14.03.2023	02.01.2023	U01	            10425853	           10	BC8	EA	            150

			10355881				10355881	MACH, OUTSIDE BODY, HYDR. CYLINDER	DepReq	PurRqs	           17556775	                  10	-2	              2	27.01.2023		06.07.2023	06.07.2023	M01	            10456579	           30	BC8	EA	            132

				10355874			10355874	CLAD, OUTSIDE BODY, HYDR. CYLINDER	SubReq	PurRqs	           17557189	                  10	-2	              2	03.01.2023		27.01.2023	27.01.2023	M01	            10458708	            1	BC8	EA	              1

					10355886		10355886	PRE-CLAD, OUTSIDE BODY, HYDR. CYLINDER	SubReq	POitem	         4501740493	                  50	-2	              8			28.03.2023	03.01.2023	F01	            10458963		BC2	EA	            320

			10352470				10352470	MACH, PISTON, HYDR. CYLINDER	DepReq	PurRqs	           17556734	                  10	-2	              2	26.01.2023		06.07.2023	06.07.2023	M01	            10456579		BC8	EA	            135

				10355885			10355885	PISTON, HYDR. CYLINDER, FORGING	SubReq	POitem	         4501743620	                  20	-2	              8			07.02.2023	26.01.2023	F01	            10458534		BC2	EA	            320

			10352472				10352472	MACH, PISTON, SECONDARY UNLOCK	DepReq	PurRqs	           17556989	                  10	-2	              2	26.01.2023		06.07.2023	06.07.2023	M01	            10456579		BC8	EA	            135

				10196172			10196172	ROUND BAR DIA 10 3/4" 17-4PH 100K	SubReq	POitem	         4501740737	                  20	-0,140	          0,560			15.02.2023	26.01.2023	F01	            10458415		BC2	M	            165

			10121812				10121812	HEX SET FC,3/8-16x1,A193 B7M	DepReq	POitem	         4501742745	                  60	-8	             32			28.02.2023	06.07.2023	P01	            10456579		BC5	EA	            180
			BBANV000968				BBANV000968	O'RING REF PARKER 2-340 90 SH A	DepReq	ShpgNt	         4501741525	                  70	-8	             56			13.02.2023	06.07.2023	C02	            10456579		B02	EA	            174
			BBANV000632				BBANV000632	ANEL "O" REF PARKER 2-376 90 SH A	DepReq	PurRqs	           16969322	                  10	-12	             48	02.09.2022		28.02.2023	06.07.2023	C02	            10456579		B02	EA	            174
			BBANV000471				BBANV000471	O-RING REF PARKER 2-343 90 SH A	DepReq	ShpgNt	         4501741525	                  30	-2	              8			13.02.2023	06.07.2023	C02	            10456579		B02	EA	            174
			10087579				10087579	MALE ADAPTER 1/2" NPT x JIC DASH 4	DepReq	PurRqs	           17294596	                  10	-2	             35	27.09.2022		29.03.2023	06.07.2023	C02	            10456579		BC5	EA	            159
			10087577				10087577	MALE ADAPTER 3/8" NPT x JIC DASH 4	DepReq	POitem	         4501741675	                  50	-2	              8			29.03.2023	06.07.2023	C02	            10456579		BC5	EA	            159
			10087430				10087430	CAP JIC DASH 4	DepReq	PurRqs	           17294940	                  10	-4	             73	04.10.2022		05.04.2023	06.07.2023	C02	            10456579		BC0	EA	            159
			10215895				10215895	WEARBAND, 85,3X91,3X12,7, PA	DepReq	ShpgNt	         4501741525	                  40	-2	              8			13.02.2023	06.07.2023	C02	            10456579		B02	EA	            180
